,Electricity
2016-12-05 00:00:00+01:00,1346.40
2016-12-05 00:01:00+01:00,3130.43
2016-12-05 00:02:00+01:00,5335.97
2016-12-05 00:03:00+01:00,13522.73
2016-12-05 00:04:00+01:00,14442.31
2016-12-05 00:05:00+01:00,13752.14
2016-12-05 00:06:00+01:00,13198.41
2016-12-05 00:07:00+01:00,12157.14
2016-12-05 00:08:00+01:00,12000.00
2016-12-05 00:09:00+01:00,12000.00
2016-12-05 00:10:00+01:00,3292.94
2016-12-05 00:11:00+01:00,1338.29
2016-12-05 00:12:00+01:00,1338.29
2016-12-05 00:13:00+01:00,1338.29
2016-12-05 00:14:00+01:00,5507.58
2016-12-05 00:15:00+01:00,12527.47
2016-12-05 00:16:00+01:00,12057.14
2016-12-05 00:17:00+01:00,7671.51
2016-12-05 00:18:00+01:00,2011.17
2016-12-05 00:19:00+01:00,2011.17
2016-12-05 00:20:00+01:00,1749.00
2016-12-05 00:21:00+01:00,1428.57
2016-12-05 00:22:00+01:00,1428.57
2016-12-05 00:23:00+01:00,1428.57
2016-12-05 00:24:00+01:00,4532.97
2016-12-05 00:25:00+01:00,4853.42
2016-12-05 00:26:00+01:00,2834.65
2016-12-05 00:27:00+01:00,10304.94
2016-12-05 00:28:00+01:00,3953.62
2016-12-05 00:29:00+01:00,1836.73
2016-12-05 00:30:00+01:00,1836.73
2016-12-05 00:31:00+01:00,8853.85
2016-12-05 00:32:00+01:00,14064.52
2016-12-05 00:33:00+01:00,8765.96
2016-12-05 00:34:00+01:00,1531.91
2016-12-05 00:35:00+01:00,1531.91
2016-12-05 00:36:00+01:00,1531.91
2016-12-05 00:37:00+01:00,4456.48
2016-12-05 00:38:00+01:00,8289.35
2016-12-05 00:39:00+01:00,1290.32
2016-12-05 00:40:00+01:00,1290.32
2016-12-05 00:41:00+01:00,1290.32
2016-12-05 00:42:00+01:00,1290.32
2016-12-05 00:43:00+01:00,2053.22
2016-12-05 00:44:00+01:00,3050.85
2016-12-05 00:45:00+01:00,8981.96
2016-12-05 00:46:00+01:00,14545.16
2016-12-05 00:47:00+01:00,17814.29
2016-12-05 00:48:00+01:00,16740.26
2016-12-05 00:49:00+01:00,15795.45
2016-12-05 00:50:00+01:00,14870.00
2016-12-05 00:51:00+01:00,14187.69
2016-12-05 00:52:00+01:00,13335.16
2016-12-05 00:53:00+01:00,12391.63
2016-12-05 00:54:00+01:00,12126.81
2016-12-05 00:55:00+01:00,5873.19
2016-12-05 00:56:00+01:00,1773.40
2016-12-05 00:57:00+01:00,1773.40
2016-12-05 00:58:00+01:00,4418.72
2016-12-05 00:59:00+01:00,9492.75
2016-12-05 01:00:00+01:00,1739.13
2016-12-05 01:01:00+01:00,1739.13
2016-12-05 01:02:00+01:00,1739.13
2016-12-05 01:03:00+01:00,12289.86
2016-12-05 01:04:00+01:00,939.95
2016-12-05 01:05:00+01:00,939.95
2016-12-05 01:06:00+01:00,939.95
2016-12-05 01:07:00+01:00,939.95
2016-12-05 01:08:00+01:00,939.95
2016-12-05 01:09:00+01:00,939.95
2016-12-05 01:10:00+01:00,2122.22
2016-12-05 01:11:00+01:00,2857.14
2016-12-05 01:12:00+01:00,8980.95
2016-12-05 01:13:00+01:00,14313.04
2016-12-05 01:14:00+01:00,8457.96
2016-12-05 01:15:00+01:00,767.59
2016-12-05 01:16:00+01:00,767.59
2016-12-05 01:17:00+01:00,767.59
2016-12-05 01:18:00+01:00,767.59
2016-12-05 01:19:00+01:00,767.59
2016-12-05 01:20:00+01:00,767.59
2016-12-05 01:21:00+01:00,767.59
2016-12-05 01:22:00+01:00,2418.03
2016-12-05 01:23:00+01:00,3243.24
2016-12-05 01:24:00+01:00,11394.59
2016-12-05 01:25:00+01:00,16914.29
2016-12-05 01:26:00+01:00,3273.06
2016-12-05 01:27:00+01:00,1139.24
2016-12-05 01:28:00+01:00,1139.24
2016-12-05 01:29:00+01:00,1139.24
2016-12-05 01:30:00+01:00,1139.24
2016-12-05 01:31:00+01:00,2286.20
2016-12-05 01:32:00+01:00,3050.85
2016-12-05 01:33:00+01:00,10118.64
2016-12-05 01:34:00+01:00,15857.14
2016-12-05 01:35:00+01:00,17142.86
2016-12-05 01:36:00+01:00,7694.66
2016-12-05 01:37:00+01:00,2748.09
2016-12-05 01:38:00+01:00,8557.25
2016-12-05 01:39:00+01:00,6693.55
